id,sensor_id,data,time_stamp
1,9,0,2021-10-24 02:00:00
2,9,6,2021-10-25 02:00:00
3,9,6,2021-10-26 02:00:00
4,9,4,2021-10-27 02:00:00
5,9,6,2021-10-28 02:00:00
6,9,6,2021-10-29 02:00:00
7,9,0,2021-10-30 02:00:00
8,9,2,2021-10-31 02:00:00
9,9,6,2021-11-01 01:00:00
10,9,4,2021-11-02 01:00:00
11,9,6,2021-11-03 01:00:00
12,9,6,2021-11-04 01:00:00
13,9,4,2021-11-05 01:00:00
14,9,2,2021-11-06 01:00:00
15,9,0,2021-11-07 01:00:00
16,9,6,2021-11-08 01:00:00
17,9,6,2021-11-09 01:00:00
18,9,6,2021-11-10 01:00:00
19,9,6,2021-11-11 01:00:00
20,9,6,2021-11-12 01:00:00
21,9,0,2021-11-13 01:00:00
22,9,0,2021-11-14 01:00:00
23,9,6,2021-11-15 01:00:00
24,9,6,2021-11-16 01:00:00
25,9,6,2021-11-17 01:00:00
26,9,6,2021-11-18 01:00:00
27,9,6,2021-11-19 01:00:00
28,9,0,2021-11-20 01:00:00
29,9,2,2021-11-21 01:00:00
30,9,2,2021-11-22 01:00:00
