id,sensor_id,data,time_stamp
1,9,12,'2020-05-31 00:00:00+00:00'
2,9,6,'2020-06-30 00:00:00+00:00'
3,9,0,'2020-07-31 00:00:00+00:00'
4,9,2,'2020-08-31 00:00:00+00:00'
5,9,2,'2020-09-30 00:00:00+00:00'
6,9,16,'2020-10-31 00:00:00+00:00'
7,9,28,'2020-11-30 00:00:00+00:00'
8,9,0,'2020-12-31 00:00:00+00:00'
9,9,0,'2021-01-31 00:00:00+00:00'
10,9,0,'2021-02-28 00:00:00+00:00'
11,9,0,'2021-03-31 00:00:00+00:00'
12,9,0,'2021-04-30 00:00:00+00:00'
13,9,0,'2021-05-31 00:00:00+00:00'
14,9,22,'2021-06-30 00:00:00+00:00'
15,9,66,'2021-07-31 00:00:00+00:00'
16,9,68,'2021-08-31 00:00:00+00:00'
17,9,66,'2021-09-30 00:00:00+00:00'
18,9,112,'2021-10-31 00:00:00+00:00'
19,9,128,'2021-11-30 00:00:00+00:00'
