,id,sensor_id,data,time_stamp
0,1,1,18.2,2021-10-23 10:05:26.700427
1,2,1,18.2,2021-10-23 10:26:28.601499
2,3,1,18.2,2021-10-23 10:47:27.015627
3,4,1,18.2,2021-10-23 11:10:07.826942
4,5,1,18.3,2021-10-23 11:32:07.197929
5,6,1,18.3,2021-10-23 11:55:25.319152
6,7,1,18.3,2021-10-23 12:16:48.743200
7,8,1,18.4,2021-10-23 12:37:23.107564
8,9,1,18.4,2021-10-23 12:58:31.044476
9,10,1,18.5,2021-10-23 13:20:55.556262
10,11,1,18.5,2021-10-23 13:42:18.472641
11,12,1,18.6,2021-10-23 14:03:46.722234
12,13,1,18.6,2021-10-23 14:24:25.496320
13,14,1,18.7,2021-10-23 14:45:49.284101
14,15,1,18.6,2021-10-23 15:06:39.611870
15,16,1,18.7,2021-10-23 15:28:11.343683
16,17,1,18.6,2021-10-23 15:50:13.329439
17,18,1,18.6,2021-10-23 16:13:03.209438
18,19,1,18.6,2021-10-23 16:34:56.153915
19,20,1,18.6,2021-10-23 16:55:45.906517
20,21,1,18.6,2021-10-23 17:16:40.817553
21,22,1,18.6,2021-10-23 17:38:25.349153
22,23,1,18.6,2021-10-23 18:00:00.725524
23,24,1,18.6,2021-10-23 18:22:03.742091
24,25,1,18.5,2021-10-23 18:43:59.089673
25,26,1,18.5,2021-10-23 19:04:27.764585
26,27,1,18.5,2021-10-23 19:25:12.226208
27,28,1,18.5,2021-10-23 19:46:42.016965
28,29,1,18.4,2021-10-23 20:08:25.866293
29,30,1,18.4,2021-10-23 20:29:54.419611
30,31,1,18.4,2021-10-23 20:50:32.953713
31,32,1,18.3,2021-10-23 21:13:18.384128
32,33,1,18.3,2021-10-23 21:35:16.876269
33,34,1,18.3,2021-10-23 21:58:03.422353
34,35,1,18.2,2021-10-23 22:20:29.199317
35,36,1,18.2,2021-10-23 22:43:06.263496
36,37,1,18.1,2021-10-23 23:04:18.299928
37,38,1,18.1,2021-10-23 23:25:38.106557
38,39,1,18.1,2021-10-23 23:46:33.560130
39,40,1,18.0,2021-10-24 00:07:18.183527
40,41,1,18.0,2021-10-24 00:28:13.962939
41,42,1,18.0,2021-10-24 00:49:24.486852
42,43,1,17.9,2021-10-24 01:10:44.802836
43,44,1,17.9,2021-10-24 01:32:25.591440
44,45,1,17.8,2021-10-24 01:53:42.100370
45,46,1,17.8,2021-10-24 02:14:59.590305
46,47,1,17.8,2021-10-24 02:35:46.106489
47,48,1,17.7,2021-10-24 02:57:02.697825
48,49,1,17.7,2021-10-24 03:18:36.944688
49,50,1,17.7,2021-10-24 03:40:04.516381
50,51,1,17.6,2021-10-24 04:01:56.770850
51,52,1,17.5,2021-10-24 04:22:59.759183
52,53,1,17.5,2021-10-24 04:44:13.381622
53,54,1,17.5,2021-10-24 05:06:46.340157
54,55,1,17.4,2021-10-24 05:29:02.322240
55,56,1,17.3,2021-10-24 05:51:20.521837
56,57,1,17.3,2021-10-24 06:12:51.093533
57,58,1,17.3,2021-10-24 06:34:01.734930
58,59,1,17.2,2021-10-24 06:55:22.138963
59,60,1,17.2,2021-10-24 07:16:18.674779
60,61,1,17.1,2021-10-24 07:38:39.693809
61,62,1,17.1,2021-10-24 08:00:18.112517
62,63,1,17.0,2021-10-24 08:22:15.162181
63,64,1,17.0,2021-10-24 08:45:12.600572
64,65,1,16.9,2021-10-24 09:07:13.146553
65,66,1,16.9,2021-10-24 09:28:54.576703
66,67,1,16.9,2021-10-24 09:49:54.959803
67,68,1,16.8,2021-10-24 10:11:08.479099
68,69,1,16.8,2021-10-24 10:33:09.505642
69,70,1,16.8,2021-10-24 10:54:17.094213
70,71,1,16.8,2021-10-24 11:15:18.120753
71,72,1,16.9,2021-10-24 11:38:03.613446
72,73,1,16.9,2021-10-24 12:00:12.390734
73,74,1,17.0,2021-10-24 12:22:18.716225
74,75,1,17.0,2021-10-24 12:45:17.483218
