id,sensor_id,data,time_stamp
5012,'7',8.6,'2021-10-23T10:22:58.866241+02'
5013,'7',9.0,'2021-10-23T10:43:57.288672+02'
5014,'7',9.7,'2021-10-23T11:05:58.647958+02'
5015,'7',10.7,'2021-10-23T11:26:56.160589+02'
5016,'7',11.5,'2021-10-23T11:48:00.690073+02'
5017,'7',11.9,'2021-10-23T12:10:36.629179+02'
5018,'7',12.2,'2021-10-23T12:31:27.243858+02'
5019,'7',12.8,'2021-10-23T12:52:16.978463+02'
5020,'7',12.9,'2021-10-23T13:13:56.414253+02'
5021,'7',13.1,'2021-10-23T13:34:58.788375+02'
5022,'7',13.3,'2021-10-23T13:55:29.550153+02'
5023,'7',13.4,'2021-10-23T14:16:40.920022+02'
5024,'7',13.3,'2021-10-23T14:37:45.056298+02'
5025,'7',13.3,'2021-10-23T14:59:11.735214+02'
5026,'7',13.2,'2021-10-23T15:20:46.59308+02'
5027,'7',13.4,'2021-10-23T15:41:38.926253+02'
5028,'7',13.0,'2021-10-23T16:02:34.523329+02'
5029,'7',13.2,'2021-10-23T16:23:34.123328+02'
5030,'7',13.3,'2021-10-23T16:45:54.487927+02'
5031,'7',13.1,'2021-10-23T17:07:02.07466+02'
5032,'7',13.1,'2021-10-23T17:28:13.73292+02'
5033,'7',12.9,'2021-10-23T17:49:29.858958+02'
5034,'7',12.8,'2021-10-23T18:12:11.986723+02'
5035,'7',12.6,'2021-10-23T18:33:19.342894+02'
5036,'7',12.4,'2021-10-23T18:54:50.195949+02'
5037,'7',11.8,'2021-10-23T19:17:09.922332+02'
5038,'7',11.5,'2021-10-23T19:38:53.613066+02'
5039,'7',11.2,'2021-10-23T20:00:00.225243+02'
5040,'7',11.0,'2021-10-23T20:22:37.254084+02'
5041,'7',10.8,'2021-10-23T20:43:18.116765+02'
5042,'7',10.6,'2021-10-23T21:04:42.137106+02'
5043,'7',10.3,'2021-10-23T21:25:52.557074+02'
5044,'7',10.1,'2021-10-23T21:46:30.999833+02'
5045,'7',10.0,'2021-10-23T22:07:32.918298+02'
5046,'7',9.7,'2021-10-23T22:29:18.884977+02'
5047,'7',9.5,'2021-10-23T22:50:57.977334+02'
5048,'7',9.4,'2021-10-23T23:12:56.906272+02'
5049,'7',9.1,'2021-10-23T23:34:03.036973+02'
5050,'7',9.0,'2021-10-23T23:55:25.853961+02'
5051,'7',8.7,'2021-10-24T00:17:31.483374+02'
5052,'7',8.4,'2021-10-24T00:38:51.983631+02'
5053,'7',8.1,'2021-10-24T00:59:40.043357+02'
5054,'7',8.0,'2021-10-24T01:20:33.30748+02'
5055,'7',7.7,'2021-10-24T01:42:28.128316+02'
5056,'7',7.5,'2021-10-24T02:04:52.503958+02'
5057,'7',7.3,'2021-10-24T02:25:20.140602+02'
5058,'7',7.2,'2021-10-24T02:47:00.531066+02'
5059,'7',7.0,'2021-10-24T03:08:37.21013+02'
5060,'7',6.9,'2021-10-24T03:30:29.847823+02'
5061,'7',6.7,'2021-10-24T03:52:44.523508+02'
5062,'7',6.6,'2021-10-24T04:13:52.722342+02'
5063,'7',6.4,'2021-10-24T04:34:31.533341+02'
5064,'7',6.3,'2021-10-24T04:56:28.401213+02'
5065,'7',6.4,'2021-10-24T05:18:59.337189+02'
5066,'7',6.0,'2021-10-24T05:41:13.979497+02'
5067,'7',5.9,'2021-10-24T06:03:03.195587+02'
5068,'7',6.0,'2021-10-24T06:24:20.866867+02'
5069,'7',6.0,'2021-10-24T06:47:11.306257+02'
5070,'7',5.9,'2021-10-24T07:08:50.65637+02'
5071,'7',5.7,'2021-10-24T07:29:37.730827+02'
5072,'7',5.7,'2021-10-24T07:51:01.379852+02'
5073,'7',5.8,'2021-10-24T08:13:47.499863+02'
5074,'7',5.8,'2021-10-24T08:34:09.54736+02'
5075,'7',5.8,'2021-10-24T08:55:38.011867+02'
5076,'7',5.9,'2021-10-24T09:16:24.133202+02'
5077,'7',6.2,'2021-10-24T09:37:49.126612+02'
5078,'7',6.2,'2021-10-24T09:59:04.3066+02'
5079,'7',6.3,'2021-10-24T10:20:57.950003+02'
5080,'7',6.6,'2021-10-24T10:41:17.689177+02'
5081,'7',7.1,'2021-10-24T11:03:46.0114+02'
5082,'7',8.0,'2021-10-24T11:25:53.329872+02'
5083,'7',8.9,'2021-10-24T11:46:18.793243+02'
5084,'7',9.6,'2021-10-24T12:07:11.429624+02'
5085,'7',10.2,'2021-10-24T12:29:07.198959+02'
5086,'7',10.6,'2021-10-24T12:50:12.215397+02'
5087,'7',10.9,'2021-10-24T13:11:57.759435+02'
5088,'7',11.2,'2021-10-24T13:33:37.116801+02'
5089,'7',11.4,'2021-10-24T13:54:18.068557+02'
5090,'7',11.7,'2021-10-24T14:16:39.533415+02'
5091,'7',11.8,'2021-10-24T14:38:24.321547+02'
5092,'7',11.9,'2021-10-24T15:00:03.814739+02'
5093,'7',12.0,'2021-10-24T15:21:26.153586+02'
5094,'7',12.0,'2021-10-24T15:43:21.130148+02'
5095,'7',12.1,'2021-10-24T16:04:38.391158+02'
5096,'7',12.2,'2021-10-24T16:26:00.210321+02'
5097,'7',12.1,'2021-10-24T16:47:58.093704+02'
5098,'7',12.0,'2021-10-24T17:08:45.360424+02'
5099,'7',11.9,'2021-10-24T17:29:12.718143+02'
5100,'7',11.7,'2021-10-24T17:51:28.652567+02'
5101,'7',11.4,'2021-10-24T18:12:21.130256+02'
5102,'7',11.1,'2021-10-24T18:34:24.451712+02'
5103,'7',10.8,'2021-10-24T18:55:42.680652+02'
5104,'7',10.4,'2021-10-24T19:16:51.802819+02'
5105,'7',10.1,'2021-10-24T19:39:03.232466+02'
5106,'7',9.9,'2021-10-24T20:00:39.874535+02'
5107,'7',9.6,'2021-10-24T20:21:47.960006+02'
5108,'7',9.4,'2021-10-24T20:42:44.76536+02'
5109,'7',9.4,'2021-10-24T21:04:08.145125+02'
5110,'7',9.2,'2021-10-24T21:26:16.60045+02'
5111,'7',9.1,'2021-10-24T21:47:24.135335+02'
5112,'7',8.8,'2021-10-24T22:09:30.179597+02'
5113,'7',8.6,'2021-10-24T22:31:27.18201+02'
5114,'7',8.6,'2021-10-24T22:52:34.123921+02'
5115,'7',8.6,'2021-10-24T23:13:40.987531+02'
5116,'7',8.6,'2021-10-24T23:35:04.72803+02'
5117,'7',8.6,'2021-10-24T23:57:22.993568+02'
5118,'7',8.7,'2021-10-25T00:19:15.703353+02'
5119,'7',8.8,'2021-10-25T00:40:45.006919+02'
5120,'7',8.9,'2021-10-25T01:02:08.607269+02'
5121,'7',9.0,'2021-10-25T01:24:24.461762+02'
5122,'7',9.1,'2021-10-25T01:45:55.998329+02'
5123,'7',9.1,'2021-10-25T02:07:10.111407+02'
5124,'7',9.1,'2021-10-25T02:29:20.824783+02'
5125,'7',9.2,'2021-10-25T02:50:27.954448+02'
