id,sensor_id,data,time_stamp
1677,'3',19.6,'2021-10-23T10:06:26.990442+02'
1678,'3',19.6,'2021-10-23T10:27:21.100872+02'
1679,'3',19.6,'2021-10-23T10:48:49.15517+02'
1680,'3',19.6,'2021-10-23T11:10:11.746425+02'
1681,'3',19.8,'2021-10-23T11:32:10.970087+02'
1682,'3',20.0,'2021-10-23T11:55:29.038939+02'
1683,'3',20.1,'2021-10-23T12:16:53.32692+02'
1684,'3',20.3,'2021-10-23T12:37:27.569503+02'
1685,'3',20.5,'2021-10-23T12:58:34.882657+02'
1686,'3',20.5,'2021-10-23T13:21:00.158224+02'
1687,'3',20.7,'2021-10-23T13:43:12.303983+02'
1688,'3',20.8,'2021-10-23T14:04:34.751453+02'
1689,'3',20.8,'2021-10-23T14:25:40.535028+02'
1690,'3',20.8,'2021-10-23T14:46:10.326203+02'
1691,'3',20.8,'2021-10-23T15:07:48.778848+02'
1692,'3',20.8,'2021-10-23T15:29:50.49959+02'
1693,'3',20.7,'2021-10-23T15:51:47.497378+02'
1694,'3',20.7,'2021-10-23T16:13:06.838134+02'
1695,'3',20.6,'2021-10-23T16:35:00.759345+02'
1696,'3',20.5,'2021-10-23T16:56:30.286598+02'
1697,'3',20.5,'2021-10-23T17:17:41.727224+02'
1698,'3',20.5,'2021-10-23T17:39:56.361968+02'
1699,'3',20.4,'2021-10-23T18:01:45.446073+02'
1700,'3',20.3,'2021-10-23T18:23:52.621435+02'
1701,'3',20.3,'2021-10-23T18:45:21.30013+02'
1702,'3',20.2,'2021-10-23T19:06:33.825261+02'
1703,'3',20.1,'2021-10-23T19:27:20.100662+02'
1704,'3',20.1,'2021-10-23T19:48:38.89906+02'
1705,'3',20.1,'2021-10-23T20:09:29.316242+02'
1706,'3',20.0,'2021-10-23T20:31:15.85645+02'
1707,'3',19.9,'2021-10-23T20:52:23.107398+02'
1708,'3',19.9,'2021-10-23T21:14:12.864344+02'
1709,'3',19.8,'2021-10-23T21:36:53.872142+02'
1710,'3',19.7,'2021-10-23T21:58:07.132712+02'
1711,'3',19.7,'2021-10-23T22:20:33.015771+02'
1712,'3',19.7,'2021-10-23T22:43:10.421208+02'
1713,'3',19.6,'2021-10-23T23:04:21.965474+02'
1714,'3',19.6,'2021-10-23T23:25:42.496565+02'
1715,'3',19.5,'2021-10-23T23:46:37.405582+02'
1716,'3',19.5,'2021-10-24T00:07:21.889321+02'
1717,'3',19.4,'2021-10-24T00:28:17.962809+02'
1718,'3',19.4,'2021-10-24T00:49:27.713123+02'
1719,'3',19.3,'2021-10-24T01:10:48.242744+02'
1720,'3',19.2,'2021-10-24T01:32:29.393629+02'
1721,'3',19.2,'2021-10-24T01:53:45.770737+02'
1722,'3',19.2,'2021-10-24T02:15:04.390898+02'
1723,'3',19.1,'2021-10-24T02:36:38.017011+02'
1724,'3',19.0,'2021-10-24T02:58:42.337594+02'
1725,'3',19.0,'2021-10-24T03:19:37.733926+02'
1726,'3',19.0,'2021-10-24T03:41:51.053717+02'
1727,'3',18.9,'2021-10-24T04:04:03.201953+02'
1728,'3',18.8,'2021-10-24T04:25:35.259135+02'
1729,'3',18.8,'2021-10-24T04:46:43.840449+02'
1730,'3',18.7,'2021-10-24T05:08:02.72716+02'
1731,'3',18.7,'2021-10-24T05:31:00.421405+02'
1732,'3',18.6,'2021-10-24T05:52:11.910652+02'
1733,'3',18.5,'2021-10-24T06:14:08.292879+02'
1734,'3',18.5,'2021-10-24T06:35:44.265314+02'
1735,'3',18.5,'2021-10-24T06:57:07.909568+02'
1736,'3',18.4,'2021-10-24T07:18:27.224036+02'
1737,'3',18.4,'2021-10-24T07:39:08.143506+02'
1738,'3',18.3,'2021-10-24T08:00:21.794122+02'
1739,'3',18.2,'2021-10-24T08:22:19.662959+02'
1740,'3',18.2,'2021-10-24T08:45:16.791451+02'
1741,'3',18.1,'2021-10-24T09:07:17.665871+02'
1742,'3',18.0,'2021-10-24T09:28:58.99598+02'
1743,'3',18.0,'2021-10-24T09:49:59.55078+02'
1744,'3',18.0,'2021-10-24T10:11:12.22869+02'
1745,'3',18.0,'2021-10-24T10:33:13.573121+02'
1746,'3',18.1,'2021-10-24T10:54:21.08405+02'
1747,'3',18.1,'2021-10-24T11:15:21.629595+02'
1748,'3',18.3,'2021-10-24T11:38:07.590917+02'
1749,'3',18.5,'2021-10-24T12:00:16.997417+02'
1750,'3',18.7,'2021-10-24T12:22:22.501897+02'
1751,'3',18.9,'2021-10-24T12:45:21.284327+02'
1752,'3',19.0,'2021-10-24T13:06:41.731194+02'
1753,'3',19.2,'2021-10-24T13:27:28.349167+02'
1754,'3',19.2,'2021-10-24T13:49:13.888593+02'
1755,'3',19.3,'2021-10-24T14:10:44.840536+02'
1756,'3',19.4,'2021-10-24T14:32:11.086024+02'
1757,'3',19.4,'2021-10-24T14:54:05.969136+02'
1758,'3',19.4,'2021-10-24T15:15:25.157095+02'
1759,'3',19.4,'2021-10-24T15:36:43.990145+02'
1760,'3',19.3,'2021-10-24T15:57:29.604139+02'
1761,'3',19.3,'2021-10-24T16:20:17.33258+02'
1762,'3',19.2,'2021-10-24T16:42:16.049859+02'
1763,'3',19.2,'2021-10-24T17:03:25.565629+02'
1764,'3',19.1,'2021-10-24T17:24:35.945113+02'
1765,'3',19.0,'2021-10-24T17:46:15.829072+02'
1766,'3',19.0,'2021-10-24T18:07:27.817558+02'
1767,'3',18.9,'2021-10-24T18:28:45.514829+02'
1768,'3',18.9,'2021-10-24T18:49:33.839007+02'
1769,'3',18.8,'2021-10-24T19:10:32.874967+02'
1770,'3',18.7,'2021-10-24T19:32:13.378517+02'
1771,'3',18.7,'2021-10-24T19:55:20.330348+02'
1772,'3',18.6,'2021-10-24T20:17:13.46624+02'
1773,'3',18.6,'2021-10-24T20:39:15.355431+02'
1774,'3',18.5,'2021-10-24T21:00:56.967146+02'
1775,'3',18.4,'2021-10-24T21:21:22.339847+02'
1776,'3',18.4,'2021-10-24T21:44:06.631468+02'
1777,'3',18.3,'2021-10-24T22:05:44.644557+02'
1778,'3',18.3,'2021-10-24T22:26:26.132682+02'
1779,'3',18.2,'2021-10-24T22:47:49.962411+02'
1780,'3',18.2,'2021-10-24T23:08:24.597174+02'
1781,'3',18.1,'2021-10-24T23:31:09.862886+02'
1782,'3',18.0,'2021-10-24T23:52:59.133568+02'
1783,'3',18.0,'2021-10-25T00:14:07.797479+02'
1784,'3',18.0,'2021-10-25T00:36:00.861048+02'
1785,'3',17.9,'2021-10-25T00:57:58.716747+02'
1786,'3',17.9,'2021-10-25T01:18:29.511899+02'
1787,'3',17.9,'2021-10-25T01:39:30.974231+02'
1788,'3',17.9,'2021-10-25T02:00:28.385258+02'
1789,'3',17.8,'2021-10-25T02:21:35.754387+02'
1790,'3',18.0,'2021-10-25T02:43:17.568718+02'
1791,'3',18.3,'2021-10-25T03:05:47.785642+02'
1792,'3',18.9,'2021-10-25T03:27:08.206204+02'
1793,'3',19.3,'2021-10-25T03:49:29.678162+02'
1794,'3',19.6,'2021-10-25T04:10:17.235683+02'
1795,'3',20.1,'2021-10-25T04:32:10.022279+02'
1796,'3',20.5,'2021-10-25T04:54:54.75661+02'
1797,'3',20.6,'2021-10-25T05:17:00.84255+02'
1798,'3',20.8,'2021-10-25T05:38:15.075715+02'
1799,'3',21.0,'2021-10-25T06:00:22.220828+02'
1800,'3',21.1,'2021-10-25T06:21:10.605492+02'
1801,'3',21.2,'2021-10-25T06:43:01.23008+02'
1802,'3',21.3,'2021-10-25T07:04:52.038947+02'
1803,'3',21.3,'2021-10-25T07:26:00.916208+02'
1804,'3',21.3,'2021-10-25T07:48:17.635769+02'
1805,'3',21.3,'2021-10-25T08:09:45.932971+02'
1806,'3',21.3,'2021-10-25T08:30:49.22991+02'
1807,'3',21.3,'2021-10-25T08:51:29.934465+02'
1808,'3',21.3,'2021-10-25T09:12:25.812654+02'
1809,'3',21.3,'2021-10-25T09:34:03.373297+02'
1810,'3',21.2,'2021-10-25T09:55:47.296324+02'
1811,'3',21.1,'2021-10-25T10:17:11.978406+02'
1812,'3',21.1,'2021-10-25T10:38:57.243284+02'
1813,'3',21.1,'2021-10-25T11:01:09.459483+02'
1814,'3',21.0,'2021-10-25T11:22:53.161018+02'
1815,'3',21.0,'2021-10-25T11:43:42.221974+02'
1816,'3',21.0,'2021-10-25T12:04:42.20631+02'
1817,'3',21.0,'2021-10-25T12:26:01.297476+02'
1818,'3',21.0,'2021-10-25T12:47:22.413298+02'
1819,'3',21.0,'2021-10-25T13:09:04.161855+02'
1820,'3',21.1,'2021-10-25T13:30:46.420127+02'
1821,'3',21.2,'2021-10-25T13:52:17.488015+02'
1822,'3',21.2,'2021-10-25T14:14:22.260835+02'
1823,'3',21.2,'2021-10-25T14:35:46.12241+02'
1824,'3',21.2,'2021-10-25T14:57:57.331275+02'
1825,'3',21.2,'2021-10-25T15:18:48.985328+02'
1826,'3',21.2,'2021-10-25T15:40:14.590209+02'
1827,'3',21.2,'2021-10-25T16:01:38.944228+02'
1828,'3',21.2,'2021-10-25T16:22:19.046888+02'
1829,'3',21.3,'2021-10-25T16:44:00.917892+02'
1830,'3',21.3,'2021-10-25T17:05:51.300208+02'
1831,'3',21.2,'2021-10-25T17:27:11.472851+02'
1832,'3',21.2,'2021-10-25T17:49:34.735927+02'
1833,'3',21.2,'2021-10-25T18:10:42.383114+02'
1834,'3',21.2,'2021-10-25T18:31:48.000752+02'
1835,'3',21.2,'2021-10-25T18:52:53.519316+02'
1836,'3',21.2,'2021-10-25T19:13:32.513416+02'
1837,'3',21.2,'2021-10-25T19:35:49.303625+02'
1838,'3',21.1,'2021-10-25T19:57:08.838298+02'
1839,'3',21.0,'2021-10-25T20:19:54.726908+02'
1840,'3',21.0,'2021-10-25T20:40:46.538469+02'
1841,'3',20.9,'2021-10-25T21:02:11.828655+02'
1842,'3',20.7,'2021-10-25T21:24:37.302765+02'
1843,'3',20.7,'2021-10-25T21:46:16.872648+02'
1844,'3',20.6,'2021-10-25T22:07:58.399686+02'
1845,'3',20.5,'2021-10-25T22:30:07.798373+02'
1846,'3',20.4,'2021-10-25T22:52:30.939896+02'
1847,'3',20.3,'2021-10-25T23:13:40.915043+02'
1848,'3',20.3,'2021-10-25T23:35:08.768361+02'
1849,'3',20.2,'2021-10-25T23:56:35.740141+02'
1850,'3',20.2,'2021-10-26T00:17:26.615455+02'
1851,'3',20.2,'2021-10-26T00:38:39.596645+02'
1852,'3',20.1,'2021-10-26T01:00:30.415672+02'
1853,'3',20.0,'2021-10-26T01:21:34.974261+02'
1854,'3',19.9,'2021-10-26T01:43:29.095948+02'
1855,'3',19.9,'2021-10-26T02:05:06.229401+02'
1856,'3',19.8,'2021-10-26T02:27:50.716284+02'
1857,'3',19.9,'2021-10-26T02:49:55.838771+02'
1858,'3',20.1,'2021-10-26T03:10:43.155115+02'
1859,'3',20.5,'2021-10-26T03:32:17.987154+02'
1860,'3',20.8,'2021-10-26T03:53:41.651191+02'
1861,'3',20.9,'2021-10-26T04:14:42.476215+02'
1862,'3',21.1,'2021-10-26T04:35:44.891696+02'
1863,'3',21.3,'2021-10-26T04:56:53.401829+02'
1864,'3',21.4,'2021-10-26T05:19:28.02991+02'
1865,'3',21.6,'2021-10-26T05:40:44.796498+02'
1866,'3',21.7,'2021-10-26T06:02:21.743941+02'
1867,'3',21.8,'2021-10-26T06:25:03.088044+02'
1868,'3',21.9,'2021-10-26T06:46:51.492099+02'
1869,'3',21.9,'2021-10-26T07:08:16.916347+02'
1870,'3',21.9,'2021-10-26T07:29:47.853572+02'
1871,'3',21.5,'2021-10-26T07:51:32.261923+02'
1872,'3',21.3,'2021-10-26T08:12:40.515876+02'
1873,'3',21.1,'2021-10-26T08:35:11.498636+02'
1874,'3',20.9,'2021-10-26T08:56:19.55909+02'
1875,'3',20.9,'2021-10-26T09:17:33.346711+02'
1876,'3',20.8,'2021-10-26T09:38:22.173017+02'
1877,'3',20.8,'2021-10-26T10:00:13.054168+02'
1878,'3',20.7,'2021-10-26T10:22:06.22972+02'
1879,'3',20.7,'2021-10-26T10:43:36.846557+02'
1880,'3',20.8,'2021-10-26T11:05:15.492653+02'
1881,'3',20.9,'2021-10-26T11:27:09.231695+02'
1882,'3',20.9,'2021-10-26T11:48:51.455804+02'
1883,'3',20.9,'2021-10-26T12:09:53.373295+02'
1884,'3',21.0,'2021-10-26T12:31:09.346063+02'
1885,'3',21.1,'2021-10-26T12:52:52.341086+02'
1886,'3',21.1,'2021-10-26T13:15:12.396321+02'
1887,'3',21.0,'2021-10-26T13:36:20.986505+02'
1888,'3',21.0,'2021-10-26T13:57:35.994658+02'
1889,'3',20.9,'2021-10-26T14:19:02.819367+02'
1890,'3',19.0,'2021-10-27T09:36:24.085809+02'
1891,'3',19.2,'2021-10-27T10:07:07.749541+02'
1892,'3',19.3,'2021-10-27T10:30:50.546824+02'
1893,'3',19.5,'2021-10-27T10:52:14.88717+02'
1894,'3',19.5,'2021-10-27T11:15:16.655778+02'
1895,'3',19.5,'2021-10-27T11:37:15.751771+02'
1896,'3',19.4,'2021-10-27T12:00:01.841576+02'
1897,'3',19.6,'2021-10-27T12:22:13.932539+02'
1898,'3',19.5,'2021-10-27T12:43:30.679814+02'
1899,'3',19.4,'2021-10-27T13:04:37.510974+02'
1900,'3',19.2,'2021-10-27T13:27:16.455904+02'
1901,'3',19.1,'2021-10-27T13:49:17.153823+02'
1902,'3',19.1,'2021-10-27T14:11:24.510136+02'
1903,'3',19.3,'2021-10-27T14:53:20.593725+02'
1904,'3',19.3,'2021-10-27T15:17:21.811257+02'
1905,'3',19.4,'2021-10-27T15:39:28.211238+02'
1906,'3',19.5,'2021-10-27T16:02:28.71019+02'
1907,'3',19.5,'2021-10-27T16:24:17.221774+02'
1908,'3',19.5,'2021-10-27T16:46:41.645982+02'
1909,'3',19.5,'2021-10-27T17:08:36.06033+02'
1910,'3',19.7,'2021-10-27T17:30:05.123571+02'
1911,'3',19.7,'2021-10-27T17:52:32.747262+02'
1912,'3',19.8,'2021-10-27T18:13:57.773098+02'
1913,'3',19.8,'2021-10-27T18:35:40.734326+02'
1914,'3',20.0,'2021-10-27T18:57:53.12065+02'
1915,'3',20.0,'2021-10-27T19:19:08.757326+02'
1916,'3',20.0,'2021-10-27T19:41:37.038913+02'
1917,'3',20.0,'2021-10-27T20:03:07.760574+02'
1918,'3',19.9,'2021-10-27T20:25:33.337701+02'
1919,'3',19.9,'2021-10-27T20:47:57.702654+02'
1920,'3',19.9,'2021-10-27T21:08:52.364301+02'
1921,'3',19.8,'2021-10-27T21:30:45.134582+02'
1922,'3',19.7,'2021-10-27T21:52:20.819789+02'
1923,'3',19.7,'2021-10-27T22:14:35.681333+02'
1924,'3',19.6,'2021-10-27T22:35:22.635106+02'
1925,'3',19.5,'2021-10-27T22:56:48.477538+02'
1926,'3',19.5,'2021-10-27T23:18:28.250635+02'
1927,'3',19.5,'2021-10-27T23:40:52.546696+02'
1928,'3',19.4,'2021-10-28T00:03:31.413735+02'
1929,'3',19.3,'2021-10-28T00:25:00.006487+02'
1930,'3',19.3,'2021-10-28T00:47:16.1302+02'
1931,'3',19.2,'2021-10-28T01:09:44.701715+02'
1932,'3',19.1,'2021-10-28T01:30:16.889293+02'
1933,'3',19.1,'2021-10-28T01:52:04.67847+02'
1934,'3',19.1,'2021-10-28T02:14:59.084394+02'
1935,'3',19.0,'2021-10-28T02:35:54.336708+02'
1936,'3',19.4,'2021-10-28T02:56:49.337274+02'
1937,'3',19.6,'2021-10-28T03:17:43.157117+02'
1938,'3',19.9,'2021-10-28T03:38:51.671175+02'
1939,'3',20.2,'2021-10-28T04:00:14.994635+02'
1940,'3',20.5,'2021-10-28T04:22:04.19392+02'
1941,'3',20.5,'2021-10-28T04:43:34.686+02'
1942,'3',20.5,'2021-10-28T05:06:00.929733+02'
1943,'3',20.9,'2021-10-28T05:27:19.031326+02'
